"Nom série","Note /5","Editeur","Genre","Scénariste","Dessinateur"
300,"3.73 (11 avis)","Rackham","Historique","Miller (Frank)","Miller (Frank)"
303,"2.8 (5 avis)","Bamboo","Aventure","Ennis (Garth)","Burrows (Jacen)"
1602,"3 (3 avis)","Panini Comics/Marvel","Fantastique","Gaiman (Neil)","Kubert (Andy)"
"100 bullets","3.63 (8 avis)","Semic/Panini Comics","Policier/Thriller","Azzarello (Brian)","Risso (Eduardo)"
"2 soeurs","4 (1 avis)","Rackham","Roman Graphique","Kindt (Matt)","Kindt (Matt)"
"24 Heures chrono","1.67 (3 avis)","Casterman","Policier/Thriller","Haynes (Marc L.)/Vaughn (J.C.)","Guedes (Renato)"
"30 jours de nuit","3 (9 avis)","Delcourt","Fantastique","Niles (Steve)","Templesmith (Ben)"
"32 Histoires","4 (1 avis)","Seuil","Roman Graphique","Tomine (Adrian)","Tomine (Adrian)"
"A History of Violence","3.14 (7 avis)","Delcourt","Policier/Thriller","Wagner (John)","Locke (Vince)"
"A l'ombre des tours mortes","2 (5 avis)","Casterman","Roman Graphique","Spiegelman (Art)","Spiegelman (Art)"
"A poil, le nounours!","2 (2 avis)","Comics USA","Fantastique","Nocenti (Ann)","Bolton (John)"
"A Strange Day","3.33 (3 avis)","Cà et Là","Roman Graphique","Hurd (Damon)","Gill (Tatiana)"
"Abbie an' slats - P'tit Zef poids mouche","3 (1 avis)","Futuropolis","Humour","Capp (Al)","Van Buren (Raeburn)"
"ABC Warriors","1 (1 avis)","Zenda","Science-Fiction","Mills (Pat)","Walker (Kevin)"
"Adam","3 (4 avis)","Dupuis","Humour","Basset","Basset"
"Adieu Chunky Rice","3.5 (6 avis)","Casterman","Inclassable","Thompson (Craig)","Thompson (Craig)"
"Adieu, maman","3.2 (5 avis)","Actes Sud","Roman Graphique","Hornschemeier (Paul)","Hornschemeier (Paul)"
"Affaire Madame Paul (l')","2 (1 avis)","L'Association","Policier/Thriller","Doucet (Julie)","Doucet (Julie)"
"Âge d'or de Mickey (l')","4 (1 avis)","Hachette","Jeunesse","Osborne (Ted)/De Maris (Merrill)","Gottfredson (Floyd)"
"Age de Bronze (l')","3.75 (8 avis)","Akileos","Historique","Shanower (Eric)","Shanower (Eric)"
"Agent secret X-9","3.5 (2 avis)","Denoël Graphic","Policier/Thriller","Hammett (Dashiell)","Raymond (Alex)"
"Al's Baby","2.5 (2 avis)","Arboris","Humour","Wagner (Ron)","Ezquerra (Carlos)"
"Alec, la Bande du King Canute","2.5 (2 avis)","Cà et Là","Roman Graphique","Campbell (Eddie)","Campbell (Eddie)"
"Alex","2.6 (5 avis)","Paquet","Roman Graphique","Kalesniko (Mark)","Kalesniko (Mark)"
"Alias","3.25 (4 avis)","Panini Comics/Marvel","Policier/Thriller","Bendis (Brian Michael)","Gaydos (Michael)"
"Alice Cooper's The Last Temptation","3 (4 avis)","Bulle Dog","Fantastique","Gaiman (Neil)","Zulli (Michael)"
"Aliens - Alchemy","3 (1 avis)","TOTH","Science-Fiction","Arcudy (John)","Corben (Richard)"
"Aliens - Salvation","3 (1 avis)","Wetta Worldwide","Science-Fiction","Gibbons (Dave)","Mignola (Mike)"
"Aliens (Wetta Worldwide)","3 (1 avis)","Wetta Worldwide","Fantastique","Collectif","Collectif"
"Aliens versus Predator","4 (1 avis)","Dark Horse France","Science-Fiction","Stradley (Randy)","Norwood (Phill)"
"Alley Oop","2 (1 avis)","Glénat","Humour","Hamlin (Vincent)","Hamlin (Vincent)"
"Ame du Samouraï (l')","3.33 (3 avis)","Delcourt","Aventure","Marz (Ron)","Ross (Luke)"
"Andy Capp","3 (1 avis)","Sagédition/Square/Dargaud/En Marge","Humour","Smythe (Reg)","SMythe (Reg)"
"Angel fire","4 (1 avis)","Casterman","Fantastique","Blythe (Chris)","Parkhouse (Steve)"
"Angoisses d'Angus (les)","3 (1 avis)","Comics USA","Science-Fiction","Mc Kie (Angus)","Mc Kie (Angus)"
"Anthologie de Conan le barbare","3.75 (4 avis)","Soleil","Fantasy","Thomas (Roy)","Buscema (John)"
"Appel de l'espace (l')","3.67 (3 avis)","Rackham","Policier/Thriller","Eisner (Will)","Eisner (Will)"
"Aquaman","3 (1 avis)","Aredit","Fantastique","Weisinger (Mort)","Norris (Paul)"
"Arnaque à l'arraché","3 (2 avis)","Bethy","Policier/Thriller","Pope (Paul)","Pope (Paul)"
"Arrowsmith","4 (2 avis)","Editions USA","Fantastique","Busiek (Kurt)","Pacheco (Carlos)"
"Art Invisible (l')","4.67 (6 avis)","Vertige Graphic","Documentaire","McCloud (Scott)","McCloud (Scott)"
"Astro City","4 (1 avis)","Panini Comics","Policier/Thriller","Busiek (Kurt)","Anderson (Brent Eric)"
"Au Coeur de l'Empire - L'Héritage de Luther","4 (1 avis)","Kymera","Science-Fiction","Talbot (Bryan)","Talbot (Bryan)"
"Au Fil de l'Eau","3 (1 avis)","Cà et Là","Roman Graphique","Orff (Joel)","Orff (Joel)"
"Augure (l')","2 (1 avis)","Delcourt","Fantasy","Bergting (Peter)","Bergting (Peter)"
"Authority","4 (1 avis)","Soleil","Science-Fiction","Ellis (Warren)","Hitch (Bryan)"
"Automne (l')","3 (2 avis)","Seuil","Policier/Thriller","Brubaker (Ed)/Lutes (Jason)","Lutes (Jason)"
"Autres Histoires","3 (1 avis)","6 Pieds Sous Terre","Roman Graphique","Kim (Derek Kirk)","Kim (Derek Kirk)"
"Aventures de Luther Arkwright (les)","4 (1 avis)","Kymera","Science-Fiction","Talbot (Bryan)","Talbot (Bryan)"
"B.C.","3 (1 avis)","Septimus/J'ai Lu Pocket","Humour","Hart (Johnny)","Hart (Johnny)"
"B.P.R.D.","3.5 (2 avis)","Delcourt","Fantastique","Mignola (Mike)","Collectif (un auteur par album)"
"Bad Boy","3.38 (8 avis)","Rackham","Science-Fiction","Miller (Frank)","Bisley (Simon)"
"Bafflerog le Sorcier","3.33 (3 avis)","Bulle Dog","Fantasy","Busiek (Kurt)","Wenzel (David)"
"Ballade de Halo Jones (la)","2.5 (2 avis)","Zenda","Science-Fiction","Moore (Alan)","Gibson (Ian)"
"Ballades et sagas","2 (1 avis)","Bulle Dog","Conte","Collectif","Vess (Charles)"
"Balles Perdues","3.83 (6 avis)","Bulle Dog","Policier/Thriller","Lapham (David)","Lapham (David)"
"Batman - Absolution","3.5 (2 avis)","Panini Comics","Policier/Thriller","DeMatteis (JM)","Ashmore (Brian)"
"Batman - Année 1","3.9 (10 avis)","Delcourt","Policier/Thriller","Miller (Frank)","Mazzucchelli (David)"
"Batman - Cris dans la nuit","4 (4 avis)","Comics USA","Policier/Thriller","Goodwin (Archie)","Hampton (Scott)"
"Batman - D'ombre et de lumière","3 (2 avis)","Semic","Fantastique","Collectif","Collectif"
"Batman - Dark Knight","4.45 (22 avis)","Delcourt","Policier/Thriller","Miller (Frank)","Miller (Frank)"
"Batman - Dark Knight : La Relève","1.67 (6 avis)","Editions USA","Science-Fiction","Miller (Frank)","Miller (Frank)"
"Batman - Dark Victory","4 (6 avis)","Semic","Policier/Thriller","Loeb (Jeph)","Sale (Tim)"
"Batman - Enfer Blanc","2 (1 avis)","Comics USA","Science-Fiction","Wrightson (Berni)","Starlin (Jim)"
"Batman - Gotham county line","3 (1 avis)","Panini Comics","Fantastique","Niles (Steve)","Hampton (Scott)"
"Batman - Halloween","3 (1 avis)","Semic","Policier/Thriller","Loeb (Jeph)","Sale (Tim)"
"Batman - Harvest Breed","2 (2 avis)","Semic","Fantastique","Pratt (George)","Pratt (George)"
"Batman - Hong Kong","3 (1 avis)","Semic","Policier/Thriller","Moench (Doug)","Wong (Tony)"
"Batman - Judge Dredd - Jugement à Gotham","1 (1 avis)","Comics USA","Science-Fiction","Wagner (John)","Bisley (Simon)"
"Batman - Judge Dredd - La Grande Enigme","1.5 (2 avis)","Editions USA","Science-Fiction","Grant (Alan)","Critchlow (Carl)"
"Batman - Justice Digitale","2 (2 avis)","Comics USA","Science-Fiction","Moreno (Pepe)","Moreno (Pepe)"
"Batman - L'asile d'Arkham","3.75 (4 avis)","Reporter","Fantastique","Morrisson (Grant)","McKean (Dave)"
"Batman - Le fils du demon","3 (1 avis)","Comics USA","Aventure","Barr (Mike)","Bingham (Jerry)"
"Batman - Prédateurs nocturnes","2 (1 avis)","Semic","Policier/Thriller","Lieberman (A.J.)/Grayson (Devin)","Dzialowski (Jean-Jacques)"
"Batman - Predator","2 (1 avis)","Comics USA","Science-Fiction","Gibbons (Dave)","Kubert (Andy & Adam)"
"Batman - Proie","4 (2 avis)","Comics USA","Policier/Thriller","Austin (Terry)","Gulacy (Paul)"
"Batman - Rire et Mourir","3.11 (9 avis)","Delcourt","Policier/Thriller","Moore (Alan)","Bolland (Brian)"
"Batman - Secrets","4 (1 avis)","Panini Comics","Policier/Thriller","Kieth (Sam)","Kieth (Sam)"
"Batman - Silence","3.67 (3 avis)","Semic","Fantastique","Loeb (Jeph)","Lee (Jim)"
"Batman - Un deuil dans la famille","2 (3 avis)","Semic","Fantastique","Starlin (Jim)","Aparo (Jim)"
"Batman - Un long Halloween","4 (9 avis)","Semic","Policier/Thriller","Loeb (Jeph)","Sale (Tim)"
"Batman - Year Two","3 (1 avis)","Semic","Fantastique","Barr (Mike)","Davis (Alan)/Mc Farlane (Todd)"
"Batman : L'intégrale","3 (1 avis)","Panini Comics","Fantastique","Collectif","Collectif"
"Batman & Catwoman - Tu ne tueras point","2 (1 avis)","Panini Comics","Policier/Thriller","Nocenti (Ann)","Van Sciver (Ethan)"
"Batman!","4 (1 avis)","Editions USA","Inclassable","Collectif","Collectif"
"Batman/Tarzan: Les griffes de Cat-Woman","4 (1 avis)","Wetta Worldwide","Aventure","Marz (Ron)","Kordey (Igor)"
"Battle Chasers","3.6 (5 avis)","Editions USA","Fantasy","Madureira (Joe)","Madureira (Joe)"
"Battle Hymn - L'Escadron des Etoiles","2 (1 avis)","Bamboo","Science-Fiction","Moore (Clay)","Haun (Jeremy)"
"Beautiful Killer","3 (1 avis)","Bamboo","Policier/Thriller","Palmiotti (Jimmy)","Noto (Phil)"
"Bébé blues","3.25 (4 avis)","Hors collection (Presses de la cité)","Humour","Scott (Jerry)","Kirkman (Rick)"
"Beetle Bailey","4 (1 avis)","Dargaud","Humour","Walker (Mort)","Walker (Mort)"
"Belle d'un jour","2 (1 avis)","Albin Michel","Humour","Crumb (Robert)","Crumb (Robert)"
"Belles à Croquer","3 (1 avis)","Albin Michel","Fantastique","Corben (Richard)","Corben (Richard)"
"Berlin, la Cité des Pierres","3.2 (5 avis)","Seuil","Historique","Lutes (Jason)","Lutes (Jason)"
"Betty Boop","2.5 (2 avis)","Futuropolis","Humour","Counihan (Bud)","Fleischer (Max)"
"Bicot","4 (1 avis)","Hachette/Azur","Jeunesse","Branner (Martin M.)","Branner (Martin M.)"
"Big Baby","3.83 (6 avis)","Cornélius","Fantastique","Burns (Charles)","Burns (Charles)"
"Big City","3.75 (4 avis)","Glénat","Roman Graphique","Eisner (Will)","Eisner (Will)"
"Big Guy","1.67 (6 avis)","Delcourt","Science-Fiction","Miller (Frank)","Darrow (Geof)"
"Big Man","3 (1 avis)","Cornélius","Inclassable","Mazzucchelli (David)","Mazzucchelli (David)"
"Bigfoot","4 (1 avis)","TOTH","Fantastique","Niles (Steve)/Zombie (Rob)","Corben (Richard)"
"Bird","2 (1 avis)","Erko","Policier/Thriller","Trillo (Carlos)","Bobillo (Juan)"
"Bitchy Bitch","4 (1 avis)","Bethy/Vertiges graphics","Roman Graphique","Gregory (Roberta)","Gregory (Roberta)"
"Black hole","3.77 (13 avis)","Delcourt","Fantastique","Burns (Charles)","Burns (Charles)"
"Black Orchid","3.29 (7 avis)","Reporter","Fantastique","Gaiman (Neil)","McKean (Dave)"
"Blanche (Wetta Worldwide)","4 (1 avis)","Wetta Worldwide","Inclassable","Kwon (Songgu)","Kwon (Songgu)"
"Blankets - Manteau de neige","3.79 (34 avis)","Casterman","Roman Graphique","Thompson (Craig)","Thompson (Craig)"
"Blonde platine","2.71 (7 avis)","Seuil","Roman Graphique","Tomine (Adrian)","Tomine (Adrian)"
"Blondie","4 (1 avis)","Futuropolis/J'ai lu",,"Young (Chic)","Young (Chic)"
"Blood Song","3 (1 avis)","Harcourt","Conte","Drooker (Eric)","Drooker (Eric)"
"Bloody Mary","3 (3 avis)","Le Téméraire","Science-Fiction","Ennis (Garth)","Ezquerra (Carlos)"
"Bluesman","3.5 (2 avis)","Akileos","Aventure","Vollmar (Rob)","Callejo (Pablo Garcia)"
"Bob l'aviateur","3 (1 avis)","Futuropolis","Aventure","Terry (John)","Terry (John)"
"Body bags","3.5 (2 avis)","Delcourt","Policier/Thriller","Pearson (Jason)","Pearson (Jason)"
"Bone","4.04 (23 avis)","Delcourt","Aventure","Smith (Jeff)","Smith (Jeff)"
"Bone - Big Johnson Bone contre les rats-garous","2.88 (8 avis)","Delcourt","Aventure","Sniegoski (Tom)","Smith (Jeff)"
"Bone - Rose","3.2 (5 avis)","Delcourt","Fantasy","Smith (Jeff)","Vess (Charles)"
"Bourbon Thret","2 (1 avis)","Delcourt","Science-Fiction","Darrow (Geof)","Darrow (Geof)"
"Breakfast after noon","3.1 (10 avis)","Casterman","Roman Graphique","Watson (Andi)","Watson (Andi)"
"Buck Rogers","5 (1 avis)","Horay/Deux Coqs d'Or/Sagédition","Science-Fiction","Nowlan (Philip)","Calkins (Dick)"
"Buddy Bradley","4 (2 avis)","Rackham","Roman Graphique","Bagge (Peter)","Bagge (Peter)"
"Building (le)","3.25 (4 avis)","Rackham","Roman Graphique","Eisner (Will)","Eisner (Will)"
"Buz Sawyer","2 (1 avis)","Futuropolis","Aventure","Crane (Roy)","Crane (Roy)"
"Buzz & Bell","2.5 (2 avis)","Dupuis","Humour","Aragonés (Sergio)","Aragonés (Sergio)"
"Cage","4 (1 avis)","Panini Comics/Marvel","Policier/Thriller","Azzarello (Brian)","Corben (Richard)"
"Cages","3.4 (10 avis)","Delcourt","Roman Graphique","McKean (Dave)","McKean (Dave)"
"Calvin et Hobbes","4.26 (53 avis)","Hors collection (Presses de la cité)","Humour","Watterson (Bill)","Waterson (Bill)"
"Cancer de Maman (le)","4 (1 avis)","Cà et Là","Roman Graphique","Fies (Brian)","Fies (Brian)"
"Capote in Kansas","4 (3 avis)","Akileos","Policier/Thriller","Parks (Ande)","Samnee (Chris)"
"Captain America","4 (1 avis)","Artima/Marvel France/Maxi Livres","Fantastique","Simon (Joe)","Kirby (Jack)"
"Captain Britain","4 (1 avis)","Panini Comics","Science-Fiction","Moore (Alan)","Davis (Alan)"
"Caricature","2 (1 avis)","Rackham","Roman Graphique","Clowes (Daniel)","Clowes (Daniel)"
"Casey Ruggles","2 (1 avis)","Michel Deligne","Western","Tufts (Warren)","Tufts (Warren)"
"Catwoman - A Rome","4 (3 avis)","Panini Comics","Aventure","Loeb (Jeph)","Sale (Tim)"
"Catwoman : Le grand braquage","3.75 (4 avis)","Semic","Policier/Thriller","Cooke (Darwyn)","Cooke (Darwyn)"
"Caveman","2.5 (2 avis)","2L Productions","Humour","Ozkan (Tayyar)","Ozkan (Tayyar)"
"Changements d'adresses","2.67 (3 avis)","L'Association","Roman Graphique","Doucet (Julie)","Doucet (Julie)"
"Chatte (Comics USA) (la)","4 (1 avis)","Comics USA","Policier/Thriller","Kerac (Bane)","Kerac (Bane)"
"Chelsea in Love","3 (1 avis)","Cà et Là","Roman Graphique","Chelsea (David)","Chelsea (David)"
"Chère Julia","3.5 (2 avis)","La Pastèque","Roman Graphique","Biggs (Brian)","Biggs (Brian)"
"Chosen","3.33 (3 avis)","Bamboo","Fantastique","Millar (Mark)","Gross (Peter)"
"Chroniques de l'ère xénozoïque","3 (1 avis)","Akileos","Science-Fiction","Schultz (Mark)","Schultz (Mark)"
"Ciboire de criss !","2.25 (4 avis)","L'Association","Roman Graphique","Doucet (Julie)","Doucet (Julie)"
"Cité de verre","4 (1 avis)","Actes Sud","Roman Graphique","Karasik (Paul)","Mazzucchelli (David)"
"Classwar","4 (3 avis)","Delcourt","Fantastique","Williams (Rob)","Foreman (Travel)/Hairsine (Trevor)"
"Clumsy","2.5 (2 avis)","Ego comme X","Roman Graphique","Brown (Jeffrey)","Brown (Jeffrey)"
"Col-Dee","3 (1 avis)","La Pastèque","Roman Graphique","Crane (Jordan)","Crane (Jordan)"
"Comme un gant de velours pris dans la fonte","3.14 (7 avis)","Cornélius","Inclassable","Clowes (Daniel)","Clowes (Daniel)"
"Commis voyageur (le)","3.33 (6 avis)","Casterman","Roman Graphique","Seth","Seth"
"Complot (le)","4 (5 avis)","Grasset","Historique","Eisner (Will)","Eisner (Will)"
"Conan le Barbare - Les clous rouges","4.5 (2 avis)","Les Humanoïdes Associés","Fantasy","Thomas (Roy)","Smith (Barry)"
"Concrete","2.83 (6 avis)","Semic","Science-Fiction","Chadwick (Paul)","Chadwick (Paul)"
"Congo Bill","3.33 (3 avis)","Mosquito","Historique","Cunningham (Scott)","Zezelj (Danijel)"
"Connie","3 (1 avis)","Futuropolis","Aventure","Godwin (Frank)","Godwin (Frank)"
"Coup du lapin (le)","4 (1 avis)","Chifflet & Cie","Humour","Riley (Andy)","Riley (Andy)"
"Cours intérieures","2 (1 avis)","La Boite d'Aluminium","Inclassable","Shadmi (Koren)","Shadmi (Koren)"
"Courtney Crumrin","3.77 (13 avis)","Akileos","Fantastique","Naifeh (Ted)","Naifeh (Ted)"
"Criminal Macabre","3.67 (6 avis)","Carabas","Fantastique","Niles (Steve)","Templesmith (Ben)"
"Crimson","3.83 (6 avis)","Editions USA","Fantastique","Augustyn (Bryan)","Ramos (Humberto)"
"Crisis on Infinite Earths","2 (1 avis)","Semic","Science-Fiction","Wolfman (Marv)","Perez (George)"
"Crush","3 (2 avis)","Bamboo","Fantastique","Hall (Jason)","Murphy (Sean)"
"Cycle des Epées (le)","3 (1 avis)","Zenda","Fantasy","Chaykin (Howard)","Mignola (Mike)"
"D-day, le jour du désastre","3.17 (6 avis)","Les Humanoïdes Associés","Fantastique","Brin (David)","Hampton (Scott)"
"D.R. & Quinch présentent : le Non-Sens de la Vie","3.25 (4 avis)","Zenda","Humour","Moore (Alan)","Davis (Alan)"
"Daddy's Girl","4 (4 avis)","L'Association","Roman Graphique","Drechsler (Debbie)","Drechsler (Debbie)"
"Daisy Kutter","2.5 (2 avis)","Albin Michel","Western","Kibuishi (Kazu)","Kibuishi (Kazu)"
"Damned","3 (2 avis)","Kymera","Policier/Thriller","Grant (Steven)","Zeck (Mike)"
"Dan Dare","4 (1 avis)","Hum. Associés/Greantori","Science-Fiction","Morris (Markus)","Hampson (Frank)"
"Dan et Larry","2.5 (2 avis)","Seuil","Roman Graphique","Cooper (Dave)","Cooper (Dave)"
"Danger Girl","2.25 (4 avis)","Editions USA","Aventure","Campbell (Jeff Scott)","Campbell/Hartne"
"Dans les nuages","3.33 (3 avis)","Dargaud","Jeunesse","Crane (Jordan)","Crane (Jordan)"
"DareDevil - Cauchemar","2 (1 avis)","Panini Comics/Marvel","Policier/Thriller","Bendis (Brian Michael)","Mack (David)"
"Daredevil - Father","4 (1 avis)","Panini Comics","Policier/Thriller","Quesada (Joe)","Quesada (Joe)"
"DareDevil - Guerre et amour","3.4 (5 avis)","Panini Comics/Marvel","Policier/Thriller","Miller (Frank)","Sienkiewicz (Bill)"
"DareDevil - Jaune","3.33 (3 avis)","Panini Comics/Marvel","Roman Graphique","Loeb (Jeph)","Sale (Tim)"
"DareDevil - L'Homme sans peur","3.75 (4 avis)","Bethy","Policier/Thriller","Miller (Frank)","Romita (John, Jr.)"
"Daredevil - L'intégrale","4 (1 avis)","Panini Comics/Marvel","Policier/Thriller","Miller (Frank)","Miller (Frank)"
"DareDevil - La Mort d’Elektra","3 (2 avis)","Comics USA","Policier/Thriller","Miller (Frank)","Miller (Frank)"
"Daredevil - Renaissance","4.5 (2 avis)","Bethy","Fantastique","Miller (Frank)","Mazzucchelli (David)"
"DareDevil - Sous l'aile du Diable","2 (1 avis)","Panini Comics/Marvel","Policier/Thriller","Smith (Kevin)","Quesada (Joe)"
"Daredevil - Underboss","3.75 (4 avis)","Panini Comics/Marvel","Policier/Thriller","Bendis (Brian Michael)","Maleev (Alex)"
"DareDevil/Punisher - Jeu d’enfants","2 (1 avis)","Comics USA","Policier/Thriller","Miller (Frank)","Miller (Frank)"
"Darkblade","2 (1 avis)","Bulle Dog","Fantasy","Abnett (Dan)","Hopgood (Kevin)"
"David Boring","3.56 (9 avis)","Cornélius","Policier/Thriller","Clowes (Daniel)","Clowes (Daniel)"
"De mal en pis","4.08 (12 avis)","Rackham","Roman Graphique","Robinson (Alex)","Robinson (Alex)"
"Deadman","2 (1 avis)","Editions du Fromage/Glénat","Fantastique","Drake (Arnold)","Infantino (Carmine)"
"Deadman : L'Amour après la mort","3 (1 avis)","Comics USA","Fantastique","Baron (Mike)","Jones (Kelley)"
"Death","3.5 (2 avis)","Le Téméraire","Fantastique","Gaiman (Neil)","Bachalo (Chris)"
"Deep Inside Punish Yourself","2 (1 avis)","K-Inite","Inclassable","Trinh Thi (Coralie)","Collectif"
"Defective stories","3.5 (2 avis)","Albin Michel","Policier/Thriller","Burns (Charles)","Burns (Charles)"
"Démon Intérieur","1.5 (2 avis)","Editions USA","Science-Fiction","Casini (Stefano)","Casini (Stefano)"
"Den","3.67 (3 avis)","Les Humanoïdes Associés/Editions USA/TOTH","Fantasy","Corben (Richard)","Corben (Richard)"
"Dennis la malice","4 (1 avis)","Editions MCL","Jeunesse","Ketcham (Hank)","Ketcham (Hank)"
"Dernier Chevalier (le)","3 (2 avis)","Rackham","Aventure","Eisner (Will)","Eisner (Will)"
"Derniers rappels","3.67 (3 avis)","Rackham","Roman Graphique","Robinson (Alex)","Robinson (Alex)"
"Des Loups dans les murs","2.5 (2 avis)","Delcourt","Conte","Gaiman (Neil)","McKean (Dave)"
"Desperados","2.25 (4 avis)","Delcourt","Western","Mariotte (Jeff)","Cassaday (John)"
"Diablo","1.33 (3 avis)","Albin Michel","Fantasy","Différents collaborateurs","Ruiz Velasco (Francisco)"
"Dick Tracy","4 (1 avis)","Focus/Futuropolis","Policier/Thriller","Gould (Chester)","Gould (Chester)"
"Dickie Dare","4 (1 avis)","Futuropolis","Jeunesse","Caniff (Milton)","Caniff (Milton)"
"Dissymétries","3 (1 avis)","La Boite d'Aluminium","Inclassable","Shadmi (Koren)","Shadmi (Koren)"
"Docteur Jekyll & Mister Hyde","3.38 (13 avis)","Casterman","Fantastique","Kramsky (Jerry)","Mattotti (Lorenzo)"
"Docteur Strange","2 (1 avis)","Artima/Comics USA","Fantastique","Lee (Stan)","Ditko (Steve)"
"Double Fond","3.33 (6 avis)","Delcourt","Roman Graphique","Lutes (Jason)","Lutes (Jason)"
"Down","2 (1 avis)","Delcourt","Policier/Thriller","Ellis (Warren)","Harris (Tony)/Hammer (Cully)"
"Dr. Fu-Manchu","3 (2 avis)","Hachette","Aventure","Benzoni (Juliette)","Bressy (Robert)"
"Dracula (Bram Stoker)","3 (2 avis)","Comics USA","Fantastique","Thomas (Roy)","Mignola (Mike)"
"Drago","4.33 (3 avis)","Serg","Aventure","Hogarth (Burne)","Hogarth (Burne)"
"Dragons...","3 (1 avis)","Editions USA","Fantasy","Di Felice (Cinzia)","Di Felice (Cinzia)"
"Earl & Mooch","3 (2 avis)","Les Humanoïdes Associés","Humour","McDonnell (Patrick)","McDonnell (Patrick)"
"Echos graphiques","2.5 (2 avis)","Delcourt","Inclassable","McKean (Dave)","McKean (Dave)"
